Id,MSZoning,LotConfig,BldgType,Exterior1st,MSSubClass,LotArea,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,TotalBsmtSF,SalePrice
889,RL,Inside,1Fam,Wd Sdng,20,12160,4,1953,1953,0,1505,149500
900,RL,Inside,1Fam,HdBoard,20,7340,6,1971,1971,0,858,110000
2243,RM,Inside,Twnhs,CemntBd,180,1974,7,1973,2006,0,526,
1886,RL,Inside,1Fam,VinylSd,20,8750,5,1997,1998,0,1417,
2673,RM,Inside,TwnhsE,VinylSd,120,3072,5,2004,2004,0,1365,
2480,RL,Inside,1Fam,HdBoard,20,11677,4,1966,1966,761,1040,
2579,C (all),Inside,2fmCon,VinylSd,190,8250,6,1895,2006,0,957,
2090,RM,Inside,2fmCon,Wd Sdng,190,11426,6,1910,1996,0,828,
787,RL,Inside,1Fam,VinylSd,60,10142,5,2004,2004,0,956,233000
2421,RL,Inside,1Fam,Wd Sdng,20,15783,5,1952,1952,0,924,
2357,RL,Corner,1Fam,VinylSd,60,11613,5,1993,1997,0,864,
1766,RL,Inside,1Fam,MetalSd,20,14695,8,1966,2008,0,1562,
1858,RL,Inside,Duplex,HdBoard,90,7018,5,1979,1979,0,0,
1412,RL,Inside,Duplex,BrkFace,90,7200,5,1949,1950,0,0,90000
318,RL,Inside,1Fam,HdBoard,60,9900,5,1993,1993,0,1347,260000
239,RL,Inside,1Fam,VinylSd,50,8741,4,1945,1950,0,735,113000
961,RL,Corner,1Fam,HdBoard,60,12227,7,1977,1995,0,1330,272000
2541,RL,Inside,1Fam,VinylSd,60,9045,5,2005,2005,0,768,
2774,RM,Corner,1Fam,Wd Sdng,50,5520,6,1920,1980,0,1147,
2353,RL,Inside,1Fam,VinylSd,20,7500,5,2006,2007,0,1100,
2226,RL,Inside,TwnhsE,VinylSd,120,4084,6,1986,1986,0,1277,
2877,RL,Inside,1Fam,MetalSd,70,9399,8,1919,1950,0,818,
439,RL,Corner,1Fam,Wd Sdng,50,12354,8,1920,2000,0,684,110000
1366,RL,Inside,1Fam,VinylSd,60,9179,5,1999,1999,0,873,193000
2190,RL,Inside,Duplex,WdShing,90,6845,5,1955,1955,0,0,
1577,RL,Inside,1Fam,Wd Sdng,50,14235,8,1900,1993,0,676,
2577,RM,Inside,1Fam,Stucco,30,3672,7,1922,1950,0,816,
857,RL,Inside,1Fam,HdBoard,60,8125,5,1994,1995,0,702,174000
1498,FV,Inside,Twnhs,MetalSd,160,2544,5,2004,2005,42,600,
874,RM,Inside,1Fam,Wd Sdng,50,5720,6,1941,1950,0,676,66500
1061,C (all),Inside,1Fam,MetalSd,30,18000,4,1935,1950,0,894,81000
1736,RL,Inside,1Fam,VinylSd,20,15676,8,1980,1980,92,2014,
2639,RL,Inside,1Fam,HdBoard,20,10000,6,1974,1974,0,1103,
2771,RL,Inside,2fmCon,MetalSd,190,7000,5,1962,1962,0,1025,
2742,RL,Corner,1Fam,Wd Sdng,80,10000,6,1956,1956,281,1058,
727,RL,Inside,1Fam,VinylSd,20,7314,5,2007,2007,0,1232,194500
1807,RM,Inside,1Fam,VinylSd,50,15660,8,1910,2003,0,240,
1587,RL,CulDSac,1Fam,MetalSd,20,10044,6,1968,1968,0,1196,
2772,RM,Corner,1Fam,CemntBd,70,9856,8,1900,2005,0,716,
1760,RL,Inside,1Fam,HdBoard,20,10500,5,1964,1964,0,1292,
1091,FV,Inside,Twnhs,MetalSd,160,2160,5,1999,2000,0,600,160000
807,RL,Inside,1Fam,Wd Sdng,70,21384,6,1923,2004,0,1324,223500
2045,RL,Inside,Duplex,MetalSd,90,9750,6,1965,1965,0,1625,
2769,RL,Corner,1Fam,Wd Sdng,20,7400,6,1962,1962,0,1045,
2776,RM,Inside,1Fam,AsbShng,70,6451,7,1900,1970,0,712,
521,RL,Corner,1Fam,VinylSd,20,11988,6,1957,1957,0,1244,150000
1241,RL,Inside,1Fam,VinylSd,20,9849,6,2007,2007,0,1689,248328
1093,RL,Corner,1Fam,MetalSd,20,9230,8,1965,1998,0,864,146000
1596,RL,Inside,Duplex,VinylSd,90,15600,6,1950,1991,0,1032,
2786,RM,Inside,1Fam,VinylSd,50,9576,7,1945,1950,0,770,
124,RL,CulDSac,1Fam,HdBoard,20,17043,5,1979,1998,0,1362,181000
178,RL,CulDSac,1Fam,VinylSd,20,17423,5,2008,2009,0,2216,501837
1313,RL,Corner,1Fam,VinylSd,60,14774,5,1999,1999,0,1393,333168
2706,RL,Inside,1Fam,HdBoard,20,8638,6,1963,1963,0,925,
1448,RL,Inside,1Fam,MetalSd,50,11767,7,1910,2000,0,560,112000
1674,RL,Inside,TwnhsE,VinylSd,120,6904,5,2005,2005,0,1358,
2161,RL,Inside,1Fam,VinylSd,20,11778,5,2008,2008,0,2271,
67,RL,Inside,1Fam,VinylSd,20,10665,5,2003,2003,0,1453,226000
2878,RL,Inside,1Fam,VinylSd,50,10164,5,1939,1950,0,992,
2605,RL,Inside,1Fam,Plywood,85,9129,5,1977,1977,0,923,
32,RL,Corner,1Fam,VinylSd,20,11049,5,2007,2007,0,1234,179900
2020,RL,Inside,1Fam,Wd Sdng,20,6360,5,1963,1963,0,864,
844,RM,Inside,1Fam,Wd Sdng,50,12665,8,1915,1950,0,876,153900
2882,RL,Inside,1Fam,Stucco,50,8170,7,1929,1950,0,1022,
1965,RL,Inside,Twnhs,Plywood,120,2529,6,1977,1977,0,1055,
460,FV,Inside,1Fam,VinylSd,60,8004,5,2009,2009,0,832,263435
1253,RL,Inside,1Fam,Wd Sdng,60,17542,7,1974,2003,1031,1192,294000
2299,RL,Inside,1Fam,VinylSd,60,14277,5,2003,2003,0,1317,
2033,FV,Inside,Twnhs,VinylSd,160,2160,5,1999,2000,0,672,
430,RM,Inside,Twnhs,HdBoard,160,1680,5,1971,1971,0,483,85400
2698,RL,Inside,TwnhsE,Plywood,120,7175,5,1990,1991,0,1398,
1497,FV,Inside,TwnhsE,MetalSd,160,3215,5,2004,2004,0,600,
194,RL,Inside,1Fam,HdBoard,20,7180,7,1972,1972,0,864,127000
1805,RM,Inside,1Fam,Wd Sdng,50,4080,8,1935,1998,0,901,
2901,RL,Inside,1Fam,VinylSd,20,8098,5,2000,2000,116,1381,
2594,RL,Inside,1Fam,VinylSd,20,6718,5,2001,2001,0,1267,
642,RL,Inside,1Fam,Plywood,80,13860,7,1972,1995,0,1952,345000
1973,RL,Inside,1Fam,VinylSd,60,10574,5,2004,2004,0,1148,
2089,RM,Inside,1Fam,Wd Sdng,75,6000,7,1915,2005,0,728,
1889,RL,Inside,1Fam,HdBoard,20,10682,6,1960,1971,0,1014,
761,RM,FR2,1Fam,Wd Sdng,30,6911,5,1924,1950,0,1145,100000
2009,RL,FR2,1Fam,VinylSd,60,12774,5,2003,2004,0,835,
1036,RL,Inside,1Fam,VinylSd,20,12898,5,2007,2008,0,1620,315500
1027,RL,Inside,1Fam,VinylSd,20,9520,5,2007,2008,0,1638,293077
2404,RL,Inside,1Fam,WdShing,80,9600,5,1961,1961,0,1218,
2291,RL,Inside,1Fam,VinylSd,20,15431,5,2005,2006,0,1994,
929,RL,Corner,1Fam,HdBoard,60,13006,5,1997,1997,0,964,222000
2712,FV,Inside,TwnhsE,MetalSd,120,3628,5,2004,2004,0,1143,
1114,RL,Inside,1Fam,MetalSd,20,5400,7,1954,2000,0,833,117000
478,RL,Inside,1Fam,VinylSd,20,10637,5,2007,2008,0,1705,297000
2219,C (all),Inside,1Fam,MetalSd,70,9000,6,1920,1950,0,592,
402,RL,Inside,1Fam,Wd Sdng,30,10200,8,1940,1997,0,672,108000
1795,RL,Inside,1Fam,Wd Sdng,20,9000,6,1958,1958,0,160,
557,C (all),Inside,1Fam,MetalSd,50,11040,6,1920,1950,0,637,108000
211,RL,Corner,1Fam,VinylSd,20,10420,5,2009,2009,0,1212,186000
1405,RM,Inside,TwnhsE,CemntBd,120,3842,5,2004,2005,0,1594,275000
1553,RM,Inside,1Fam,VinylSd,70,3068,8,1920,1993,0,662,
2763,RL,Corner,1Fam,Plywood,20,11650,5,1959,1959,0,0,
309,RL,Inside,1Fam,VinylSd,20,12378,5,2003,2004,0,1896,360000
2661,RL,Corner,1Fam,MetalSd,20,14828,5,2004,2005,0,1780,
1713,FV,Inside,1Fam,VinylSd,20,8736,5,2003,2004,360,1553,
1352,RM,Inside,1Fam,MetalSd,50,6000,9,1937,2000,0,698,134900
2111,RL,Inside,1Fam,Wd Sdng,50,7010,5,1935,1950,0,1024,
410,RL,Inside,1Fam,BrkComm,20,9571,3,1958,1958,0,1276,60000
1681,RL,Corner,1Fam,VinylSd,20,16770,5,2002,2003,0,1712,
1726,RL,Inside,TwnhsE,Plywood,120,7175,5,1990,1991,0,1332,
829,FV,Inside,Twnhs,MetalSd,160,2544,5,2005,2005,0,600,147400
30,C (all),Inside,1Fam,BrkFace,70,8500,4,1920,1950,0,649,40000
2087,RM,Inside,1Fam,AsbShng,70,4800,5,1910,2003,0,680,
1844,RL,Inside,1Fam,HdBoard,80,15400,5,1961,1961,0,552,
2521,RL,Inside,1Fam,VinylSd,60,8826,5,2000,2000,0,985,
2683,RL,Inside,1Fam,VinylSd,60,10236,5,1994,1995,168,1290,
1644,RL,CulDSac,1Fam,HdBoard,20,9373,7,1975,1975,168,1621,
2342,RL,Inside,1Fam,VinylSd,20,8251,5,2005,2006,0,1494,
1431,RL,Inside,TwnhsE,Plywood,120,4928,6,1976,1976,0,958,143750
2548,RL,Inside,1Fam,VinylSd,60,7023,5,2005,2006,0,734,
834,RL,Inside,1Fam,VinylSd,20,7875,6,1961,1961,0,1144,139950
321,RL,Inside,1Fam,VinylSd,60,12099,5,2004,2004,0,1136,354000
162,RL,Corner,1Fam,VinylSd,20,12182,5,2005,2005,0,1541,220000
2010,RL,Inside,1Fam,VinylSd,20,13072,5,2005,2006,0,1175,
543,RH,Inside,TwnhsE,MetalSd,120,4058,5,1998,1998,139,723,133000
1623,RL,Inside,1Fam,VinylSd,60,12961,5,1993,1994,0,1152,
2423,RL,Inside,1Fam,MetalSd,50,12099,6,1953,2004,0,1216,
845,RL,CulDSac,1Fam,HdBoard,85,16647,5,1975,1981,0,1390,171000
251,RM,Inside,TwnhsE,VinylSd,120,4750,5,2006,2007,0,1573,235000
2024,RL,Inside,1Fam,Wd Sdng,60,11025,5,1993,1994,0,1848,
73,RL,Inside,1Fam,Wd Sdng,20,10200,7,1954,2003,362,1086,144900
368,RL,Inside,1Fam,HdBoard,20,7800,6,1954,1954,0,1268,132000
423,RL,Inside,1Fam,VinylSd,60,9200,5,1998,1998,0,1470,315000
1877,RL,Inside,1Fam,VinylSd,20,11166,5,2001,2001,0,1492,
63,RM,Inside,1Fam,Stucco,70,10300,6,1921,1950,0,576,140000
1730,RL,Inside,1Fam,HdBoard,20,9750,5,1962,1962,884,980,
544,RL,Inside,1Fam,VinylSd,60,17104,5,2006,2006,0,654,179665
1702,RL,Inside,1Fam,VinylSd,20,10206,5,2008,2008,0,1614,
45,RL,Inside,TwnhsE,MetalSd,120,7658,5,2005,2005,0,1752,319900
1017,RL,CulDSac,TwnhsE,HdBoard,120,5814,5,1984,1984,0,1220,187500
1373,RL,Inside,1Fam,VinylSd,20,11400,5,2001,2002,0,2633,466500
942,RL,Inside,Duplex,MetalSd,90,7711,3,1977,1977,0,1440,150000
479,RM,Inside,1Fam,Stucco,30,5925,7,1937,2000,0,907,89471
2409,RL,Inside,1Fam,Wd Sdng,20,9736,6,1957,1969,138,1331,
80,RL,Corner,1Fam,VinylSd,60,13000,6,1968,1968,0,896,193500
298,RL,Inside,1Fam,HdBoard,60,11700,6,1968,1968,175,702,175000
1510,RL,Corner,1Fam,HdBoard,20,9900,5,1966,1966,0,1209,
533,RL,Inside,1Fam,VinylSd,20,5000,3,1946,1950,0,0,39300
1255,RM,Inside,1Fam,Wd Sdng,50,6240,6,1931,1950,0,884,127500
2172,RL,CulDSac,1Fam,Plywood,20,14330,6,1975,2001,596,864,
2204,RL,Inside,1Fam,Wd Sdng,50,9260,4,1938,1950,0,884,
2716,FV,Corner,1Fam,Wd Sdng,60,8314,5,1997,1998,0,569,
1913,C (all),Inside,1Fam,MetalSd,30,10200,6,1925,1950,0,572,
471,RL,Inside,1Fam,WdShing,60,11952,6,1977,1977,0,808,190000
2208,RL,CulDSac,1Fam,BrkFace,20,26073,5,1956,1956,0,1898,
1839,RL,Inside,Duplex,Plywood,90,10800,5,1987,1988,0,1200,
420,RM,Inside,Duplex,VinylSd,90,7060,5,1997,1998,0,1344,206300
2805,RL,Inside,1Fam,Wd Sdng,30,5220,3,1936,1950,0,830,
2373,FV,Inside,1Fam,VinylSd,60,8413,5,1998,1998,0,1220,
102,RL,Inside,Duplex,HdBoard,90,7018,5,1979,1979,0,0,118964
1047,RL,Inside,1Fam,VinylSd,20,9245,5,1994,1995,0,990,145000
1211,RL,Inside,1Fam,Wd Sdng,50,12134,7,1988,2005,0,559,164000
976,RL,Inside,1Fam,Wd Sdng,30,5900,7,1923,1958,0,440,85500
2137,RL,Corner,1Fam,HdBoard,85,11235,6,1963,1963,0,981,
1456,RL,Inside,1Fam,Plywood,20,13175,6,1978,1988,163,1542,210000
736,RL,Inside,Duplex,Stucco,90,8544,4,1950,1950,0,0,93500
2627,RL,CulDSac,1Fam,VinylSd,60,16023,5,2005,2006,0,1398,
794,RL,Corner,1Fam,MetalSd,60,10832,5,1994,1996,0,712,194500
1862,RL,Inside,Duplex,VinylSd,90,7939,5,2000,2000,0,1168,
2354,RL,Inside,1Fam,VinylSd,20,7500,5,2006,2006,0,1143,
1776,RL,Corner,1Fam,MetalSd,30,8480,6,1945,1950,0,793,
2098,RM,Corner,1Fam,VinylSd,20,7311,5,1946,1950,0,407,
651,RL,Inside,1Fam,MetalSd,70,9084,5,1940,1950,0,755,108000
44,RL,Inside,1Fam,BrkFace,20,7945,6,1959,1959,506,1150,141000
599,RM,Inside,Twnhs,MetalSd,160,1950,6,1980,1980,612,716,151000
2856,RL,Inside,1Fam,VinylSd,60,8400,5,2005,2005,0,784,
944,RL,CulDSac,1Fam,HdBoard,20,14375,6,1958,1958,354,819,137500
2279,RL,FR2,1Fam,MetalSd,20,17199,7,1961,1961,0,914,
2022,RL,Corner,1Fam,HdBoard,50,10759,4,1972,1972,811,1001,
1134,RL,Inside,1Fam,VinylSd,60,8773,5,1997,1997,0,916,169000
1775,RL,Corner,1Fam,MetalSd,20,13070,5,1951,1951,0,631,
1472,RM,Inside,Twnhs,HdBoard,160,1680,5,1971,1971,0,525,
765,RL,Inside,1Fam,VinylSd,20,14587,5,2008,2008,0,1498,264132
1432,RL,Inside,1Fam,Wd Sdng,30,10800,6,1927,2007,0,656,64500
2508,RL,Inside,1Fam,VinylSd,20,11750,5,2005,2006,0,1546,
1864,RL,Inside,1Fam,VinylSd,20,10933,5,2009,2009,0,1555,
678,RL,Inside,1Fam,VinylSd,20,11844,5,2008,2008,0,2046,372500
93,C (all),Corner,2fmCon,MetalSd,190,7200,6,1910,1998,0,1214,133900
450,RM,Inside,1Fam,Wd Sdng,30,5684,8,1930,2005,0,813,110000
1374,FV,Inside,1Fam,CemntBd,60,10625,5,2005,2005,0,1026,250000
175,RL,Corner,1Fam,WdShing,20,12615,7,1950,2001,0,1202,243000
1106,RL,Corner,1Fam,HdBoard,20,10357,5,1990,1991,0,910,179900
507,FV,Inside,1Fam,VinylSd,20,7862,5,2009,2009,0,1218,208300
1071,RL,Inside,1Fam,MetalSd,60,11700,6,1968,1968,0,727,154000
486,RL,Inside,1Fam,MetalSd,20,10289,7,1965,1965,0,1073,156000
1594,RL,Inside,1Fam,VinylSd,50,9839,2,1931,1950,0,894,
932,RL,Corner,1Fam,VinylSd,20,11670,5,2006,2006,0,1905,320000
729,RM,Inside,1Fam,MetalSd,30,6240,5,1925,1950,0,780,103000
2102,RM,Corner,1Fam,VinylSd,50,9143,7,1900,2003,0,346,
2496,RL,Inside,1Fam,Wd Sdng,50,10512,6,1954,1954,0,988,
567,RL,Inside,1Fam,VinylSd,20,10171,5,2004,2004,0,1517,214000
650,FV,Inside,1Fam,CemntBd,60,8125,6,2007,2007,0,813,205950
296,RM,Inside,1Fam,Wd Sdng,50,13710,5,1950,1950,0,910,152000
2733,RL,Corner,1Fam,Wd Sdng,20,10858,6,1952,1952,0,1444,
1835,RM,Corner,1Fam,MetalSd,50,5160,6,1927,1950,0,1204,
1127,RL,Corner,1Fam,VinylSd,20,14572,5,2004,2004,0,1530,259000
2822,RL,Inside,1Fam,BrkFace,75,19800,8,1935,1990,0,1836,
2025,FV,Corner,TwnhsE,MetalSd,120,3435,5,2004,2005,0,1235,
2474,RL,Inside,1Fam,Wd Sdng,70,12888,8,1937,1980,0,1005,
2250,,Inside,1Fam,Wd Sdng,70,56600,1,1900,1950,0,686,
1739,FV,Inside,TwnhsE,VinylSd,120,3830,5,2008,2008,0,1726,
2402,RL,Corner,Duplex,MetalSd,90,8668,5,1968,1968,0,1560,
331,RL,Inside,1Fam,Wd Sdng,20,8176,6,1958,1992,0,1056,139000
2118,RM,Inside,1Fam,MetalSd,45,5000,7,1926,1950,0,992,
2185,RL,Inside,1Fam,HdBoard,20,6500,6,1976,1976,0,1127,
436,RM,Inside,1Fam,Stucco,50,4400,8,1920,1950,0,648,116000
1239,RL,Inside,1Fam,VinylSd,20,9037,5,2006,2006,0,1476,265900
2477,RL,Inside,1Fam,HdBoard,85,11235,5,1964,1980,0,1420,
1657,RL,Inside,TwnhsE,Plywood,160,2364,5,1978,1978,0,855,
70,RL,Inside,1Fam,Plywood,20,13651,6,1973,1973,0,2223,244000
2370,FV,Inside,Twnhs,MetalSd,160,2117,5,2000,2000,0,756,
1041,RL,Inside,1Fam,HdBoard,60,9130,8,1966,2000,64,800,173000
1477,RL,Inside,1Fam,VinylSd,20,11520,5,2005,2005,0,1698,
56,FV,Inside,Twnhs,MetalSd,160,2645,5,1999,2000,0,970,172500
1621,RL,Inside,1Fam,HdBoard,50,10544,5,1969,1969,0,864,
555,RM,Inside,1Fam,MetalSd,45,6380,6,1922,1950,0,993,113000
2617,RL,CulDSac,1Fam,Wd Sdng,20,39384,6,1957,1957,0,1705,
2704,RL,CulDSac,1Fam,HdBoard,20,9308,5,1965,1965,0,984,
1226,RL,CulDSac,1Fam,VinylSd,60,14598,5,2007,2007,0,894,214000
1124,RL,Inside,1Fam,HdBoard,80,9125,5,1992,1992,0,384,163900
2486,RL,Inside,1Fam,Wd Sdng,60,16779,4,1920,1996,0,671,
2915,RM,Inside,TwnhsE,CemntBd,160,1894,5,1970,1970,0,546,
2203,RL,Inside,1Fam,WdShing,50,11700,6,1937,1995,0,942,
2155,RL,Corner,1Fam,HdBoard,60,9771,5,1995,2002,0,1077,
1800,RL,Inside,1Fam,MetalSd,50,10800,7,1949,1996,0,832,
2043,RL,Inside,1Fam,HdBoard,20,11050,5,1968,1968,0,1740,
324,RL,Corner,1Fam,Wd Sdng,80,11275,7,1967,2007,0,710,242000
838,RL,Inside,1Fam,VinylSd,20,9525,6,1995,2006,0,1099,144000
581,RL,Inside,1Fam,VinylSd,20,12704,5,2008,2009,0,2042,253293
1783,RL,Corner,1Fam,MetalSd,70,8146,8,1900,2003,0,405,
2377,RL,Inside,1Fam,MetalSd,20,11700,6,1968,1968,0,912,
2108,RM,Inside,1Fam,MetalSd,20,8516,6,1958,2006,0,869,
1650,RL,FR2,1Fam,VinylSd,20,9000,7,1971,2006,0,864,
1697,RL,Inside,1Fam,VinylSd,60,12720,5,2000,2000,0,1455,
120,RL,CulDSac,1Fam,Plywood,80,21453,5,1969,1969,0,938,180000
1057,RL,FR2,1Fam,HdBoard,60,29959,6,1994,1994,0,973,248000
693,RL,Corner,1Fam,MetalSd,30,5400,6,1921,1968,0,1073,108480
2651,RL,Inside,1Fam,VinylSd,60,16387,5,2006,2006,0,1738,
1871,RL,Inside,1Fam,VinylSd,60,11646,5,2005,2006,0,704,
817,RL,CulDSac,1Fam,CemntBd,20,13265,5,2002,2002,0,1568,271000
233,RL,Corner,1Fam,HdBoard,20,10650,6,1976,1976,712,894,128200
2313,RL,Inside,1Fam,VinylSd,60,13204,5,2006,2007,0,608,
1684,RL,Inside,1Fam,VinylSd,60,8918,5,2005,2006,0,745,
111,RL,Inside,1Fam,VinylSd,80,7750,5,2000,2000,0,384,180000
1213,RL,CulDSac,1Fam,VinylSd,80,10246,9,1965,2001,0,648,145000
218,RL,Corner,1Fam,VinylSd,50,15660,9,1939,2006,0,798,311500
2765,RL,Inside,1Fam,BrkComm,50,12144,6,1950,1950,0,910,
366,RL,Inside,1Fam,Plywood,20,9500,5,1963,1963,0,1394,159000
393,RL,Corner,1Fam,WdShing,30,7446,5,1941,1950,0,788,100000
1613,RM,Inside,Twnhs,CemntBd,120,2394,6,1973,1973,0,945,
1417,RL,Inside,1Fam,VinylSd,60,16545,5,1998,1998,0,1284,340000
2559,RL,Inside,1Fam,Wd Sdng,50,6821,7,1921,2005,0,651,
741,RL,Inside,1Fam,HdBoard,20,6768,8,1961,1996,0,912,142000
2057,RL,Inside,1Fam,VinylSd,60,14670,7,1966,1999,0,1104,
1187,RL,Corner,1Fam,ImStucc,20,12461,5,1994,1995,0,1624,262000
1321,RL,Corner,1Fam,VinylSd,20,6627,6,1949,1950,0,0,72500
1078,RM,Inside,TwnhsE,VinylSd,120,4435,5,2004,2004,0,848,155900
1518,RL,Inside,1Fam,VinylSd,20,8197,5,2003,2009,0,1480,
433,RL,Corner,1Fam,VinylSd,60,10839,5,1997,1998,0,926,181000
2106,RM,Inside,1Fam,Wd Sdng,70,10800,7,1890,1999,0,1313,
1000,RL,Corner,1Fam,BrkComm,20,10206,3,1952,1952,0,0,82000
2192,RL,Inside,1Fam,Wd Sdng,50,12180,7,1938,2007,0,585,
1592,RL,Corner,1Fam,Wd Sdng,30,7890,6,1939,1950,0,856,
1080,RL,Inside,1Fam,VinylSd,20,11040,7,1971,2004,0,1258,145000
29,RM,Inside,1Fam,MetalSd,30,6324,6,1927,1950,0,520,68500
1915,,Inside,1Fam,Wd Sdng,30,21780,4,1910,1950,0,0,
2233,RL,Inside,1Fam,VinylSd,20,11202,5,2003,2003,0,1432,
1221,RL,Inside,1Fam,HdBoard,20,8250,5,1968,1968,492,952,134000
2664,RL,Inside,TwnhsE,MetalSd,20,7740,5,2006,2006,0,1686,
879,RL,CulDSac,1Fam,VinylSd,20,7000,8,1978,2005,0,864,136500
2525,RL,CulDSac,1Fam,CemntBd,20,8982,5,1977,1977,0,1040,
188,RL,Inside,Duplex,Plywood,90,7018,5,1979,1979,0,1086,153337
